Surface,Atop Adsorption Energy (eV),FCC Adsorption Energy (eV),ΔE = E_fcc - E_atop (eV)
Pt(111),-0.855973,-1.144199,-0.288226
Cu(111),-0.163861,-0.255953,-0.09209199999999998
